title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"So Long, Honey","Caamp","11HXGSToW21uxNRl8kKBbu",0.57,0.256,4,-12.865,1,0.0467,0.845,0.0759,0.156,0.0829,131.17,291761,4
"Honey","Ill Spector","7d6RUGaRvuDeanz7lg45xM",0.529,0.601,9,-7.23,0,0.025,0.328,0.0019,0.0925,0.371,107.088,178178,4
"Strawberries","Caamp","0ESvfrHfNuAtkZp8SMJBOY",0.547,0.0897,3,-18.732,1,0.0457,0.963,0.00578,0.111,0.263,117.17,219344,5
"How to Be Yours","Chris Renzema","4ogTWU6Xpem7y3PQOEzvEm",0.499,0.338,6,-8.42,1,0.0331,0.619,0,0.124,0.0957,131.851,288593,3
"This Old Car","lighthearted","2VdpJoaNdE2XvGEwgcfag0",0.539,0.373,2,-11.417,1,0.0282,0.604,0.0131,0.111,0.245,103.839,255915,1
"Walk Backwards","Maude Latour","4DhyT4rKKJh8tGVVrjY77m",0.625,0.478,7,-9.764,1,0.0961,0.376,0.00000125,0.114,0.603,90.159,153081,4
"TwentyTwo","Thea","1Nr97Z8ZmpZEkpKX6bEanN",0.643,0.466,5,-9.294,1,0.0384,0.387,0.0191,0.105,0.314,134.943,187226,3
"Kids","Current Joys","3pyyGVqWvRMq43qtJBzxe0",0.828,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0755,0.904,113.45,269143,4
"Madeline","John Vincent III","6X72NVr6JlsccvHGpeXEWD",0.385,0.195,4,-16.372,1,0.0329,0.848,0.289,0.0972,0.188,148.735,332044,4
"Yellow Squash","Jaymison","0MYd6Ko48fNuzxVISiVsZd",0.744,0.533,1,-10.207,1,0.0304,0.335,0.138,0.11,0.626,125.062,253822,4
"Buttons","meija","1pZ9xYDzyq9KHTVrqBUEsn",0.688,0.61,1,-7.332,1,0.0386,0.542,0.000163,0.0983,0.66,84.01,216399,4
"Pelican","John-Robert","2neWjq9A1LSt1Idz3lxIvD",0.684,0.711,6,-7.491,0,0.0273,0.0283,0.00207,0.219,0.67,136.883,157300,4
"Help Me Down","Wilderado","1MrgHn4BWUcxFolDAezsXJ",0.633,0.304,0,-11.947,1,0.031,0.846,0.00403,0.112,0.355,119.837,220406,4
"Take Some Time","Wilderado","7sgecWk9KRFYXk7lokoF4z",0.623,0.61,5,-9.092,1,0.0348,0.14,0.0504,0.11,0.857,80.01,210895,4
"Frost","Coast Modern","6MGEJivoOyQC3KDqNnxOEJ",0.477,0.276,5,-10.347,0,0.0329,0.965,0,0.336,0.402,94.32,165973,4
"Pigeon Lady","Wolfie's Just Fine","6QEUe2RGGNxE1qZjXAkDKZ",0.655,0.168,5,-9.566,1,0.0329,0.752,0.0000175,0.129,0.199,79.955,256747,3
"Frank Ocean","Call Me Karizma","1jKBiK0Yk6VCcBfJOgBUbs",0.565,0.388,7,-9.479,1,0.366,0.501,0.00000636,0.0847,0.555,83.831,221647,4
"Far Too Long","JERHELL","2LKSLVfg9e0bxdbr9QeeMP",0.362,0.249,7,-12.377,1,0.0432,0.929,0.0000506,0.128,0.113,79.952,406879,4
"Song About","Jeff Pianki","0DgXKXyqIGSBWI9vGKzHQn",0.762,0.43,11,-11.099,1,0.0566,0.837,0.0000397,0.107,0.528,127.956,219320,4
"Jimmy the Chameleon","Brookside","4TGY1Z7HIA0fnQYdaKEXlJ",0.608,0.263,0,-13.552,0,0.0392,0.798,0.0000434,0.0964,0.612,82.02,113428,4
"To Be So Lonely","Harry Styles","5JiH89mHrv9oWHlD0T326z",0.758,0.436,0,-7.269,1,0.0418,0.618,0.0000161,0.335,0.605,104.959,192080,4
"Along the Way","The Hunts","0Kjohk8qcUm43VcAkr5zrB",0.607,0.807,9,-5.796,1,0.036,0.168,0.0000568,0.106,0.586,136.634,272693,4
